epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,389.899,1.21444,0.75465,1.26626,0.88028,0.80576,0.86848,0.52215,1.44857,0.74303,1.44559,0.0003664,0.0003664,0.0003664
66,395.879,1.2123,0.75395,1.26997,0.91424,0.7716,0.85679,0.52223,1.43807,0.75593,1.43382,0.0003565,0.0003565,0.0003565
67,401.769,1.23541,0.77799,1.27854,0.91224,0.77544,0.8603,0.51978,1.45174,0.76803,1.43515,0.0003466,0.0003466,0.0003466
68,407.608,1.226,0.74928,1.27449,0.89947,0.7986,0.86393,0.52542,1.43677,0.752,1.42466,0.0003367,0.0003367,0.0003367
69,413.435,1.20521,0.73819,1.25225,0.89493,0.7948,0.86376,0.52101,1.43728,0.75055,1.42899,0.0003268,0.0003268,0.0003268
70,419.288,1.2217,0.76159,1.25857,0.89626,0.80329,0.86662,0.52238,1.43241,0.74105,1.42577,0.0003169,0.0003169,0.0003169
71,425.12,1.20721,0.76,1.25738,0.89215,0.79413,0.86158,0.52617,1.44667,0.74324,1.43651,0.000307,0.000307,0.000307
72,431.12,1.21571,0.7407,1.25977,0.88321,0.81023,0.86501,0.52464,1.43537,0.72672,1.43427,0.0002971,0.0002971,0.0002971
73,437.1,1.19896,0.73702,1.25768,0.88599,0.81381,0.86616,0.52472,1.41668,0.73117,1.4086,0.0002872,0.0002872,0.0002872
74,443.002,1.19357,0.7333,1.25604,0.87307,0.80568,0.86231,0.5227,1.42157,0.72682,1.42621,0.0002773,0.0002773,0.0002773
75,448.942,1.20022,0.73217,1.27095,0.88037,0.81102,0.86777,0.53253,1.41899,0.72488,1.43117,0.0002674,0.0002674,0.0002674
76,454.768,1.20578,0.73829,1.25385,0.90317,0.80388,0.87046,0.52473,1.42682,0.72192,1.42773,0.0002575,0.0002575,0.0002575
77,460.607,1.17658,0.7207,1.2495,0.87336,0.8107,0.86561,0.52663,1.40882,0.72315,1.42884,0.0002476,0.0002476,0.0002476
78,466.453,1.20338,0.73016,1.25379,0.88834,0.79362,0.86544,0.52498,1.42366,0.73706,1.42764,0.0002377,0.0002377,0.0002377
79,472.238,1.19097,0.71842,1.24246,0.90355,0.77352,0.85604,0.52433,1.4345,0.72091,1.43286,0.0002278,0.0002278,0.0002278
80,478.161,1.17616,0.72223,1.24255,0.89302,0.79687,0.86242,0.52746,1.42158,0.72003,1.4228,0.0002179,0.0002179,0.0002179
81,484.103,1.16997,0.71638,1.23043,0.9081,0.80086,0.86878,0.5283,1.43025,0.72757,1.43348,0.000208,0.000208,0.000208
82,490.012,1.17181,0.70727,1.23588,0.89186,0.79152,0.86116,0.52184,1.44175,0.72543,1.43927,0.0001981,0.0001981,0.0001981
83,495.785,1.17852,0.70929,1.2396,0.89875,0.80698,0.86974,0.5229,1.4265,0.71041,1.42353,0.0001882,0.0001882,0.0001882
84,501.647,1.16335,0.70282,1.24459,0.88083,0.82783,0.87338,0.5321,1.41073,0.70872,1.42504,0.0001783,0.0001783,0.0001783
85,507.598,1.18013,0.70914,1.23771,0.88423,0.80541,0.86755,0.5306,1.41333,0.70944,1.40479,0.0001684,0.0001684,0.0001684
86,513.567,1.17266,0.70928,1.24374,0.90535,0.81046,0.87094,0.53016,1.40241,0.71192,1.40299,0.0001585,0.0001585,0.0001585
87,519.481,1.15369,0.70155,1.23407,0.88443,0.80389,0.87085,0.52555,1.4169,0.71462,1.41715,0.0001486,0.0001486,0.0001486
88,525.317,1.17705,0.70571,1.2401,0.90617,0.80018,0.87236,0.52474,1.41542,0.70791,1.40882,0.0001387,0.0001387,0.0001387
89,531.122,1.16925,0.69343,1.23801,0.90295,0.80842,0.87614,0.52941,1.41605,0.70387,1.40946,0.0001288,0.0001288,0.0001288
90,536.964,1.14412,0.69468,1.22919,0.88731,0.80778,0.87287,0.53147,1.41952,0.71366,1.41561,0.0001189,0.0001189,0.0001189
91,563.716,1.15292,0.6542,1.24389,0.90476,0.81954,0.87511,0.52495,1.43362,0.71869,1.42946,0.000109,0.000109,0.000109
92,569.52,1.12986,0.63406,1.23624,0.90975,0.80539,0.866,0.52358,1.41158,0.70588,1.41504,9.91e-05,9.91e-05,9.91e-05
93,575.276,1.12802,0.62117,1.22858,0.89518,0.79314,0.86383,0.5233,1.41291,0.71912,1.4206,8.92e-05,8.92e-05,8.92e-05
94,581.09,1.12268,0.62199,1.23163,0.90844,0.80702,0.86927,0.52365,1.40857,0.71495,1.4172,7.93e-05,7.93e-05,7.93e-05
95,586.799,1.1178,0.62201,1.2232,0.90595,0.81037,0.87635,0.52986,1.41182,0.71187,1.41624,6.94e-05,6.94e-05,6.94e-05
96,592.498,1.11237,0.61547,1.22177,0.89987,0.81267,0.87591,0.52832,1.41221,0.71302,1.41626,5.95e-05,5.95e-05,5.95e-05
97,600.013,1.114,0.61179,1.21495,0.89765,0.79854,0.86898,0.52922,1.40002,0.70341,1.40831,4.96e-05,4.96e-05,4.96e-05
98,605.625,1.09751,0.60361,1.21562,0.90282,0.7996,0.86925,0.52923,1.40871,0.70253,1.41567,3.97e-05,3.97e-05,3.97e-05
99,611.222,1.10702,0.60823,1.21781,0.89667,0.79372,0.86796,0.52436,1.4103,0.70344,1.41885,2.98e-05,2.98e-05,2.98e-05
100,616.784,1.10678,0.60837,1.21418,0.88813,0.80271,0.86734,0.52556,1.40338,0.70634,1.41489,1.99e-05,1.99e-05,1.99e-05
